position,feature,gain,normalized_gain,group
RB,team_position_share_targets_lag1,10252.140930175781,0.002591736870642756,Opportunity share
RB,team_position_total_targets_roll3_mean,5386.35498046875,0.0013616682502053496,Opportunity share
RB,team_position_share_targets_roll3_mean,49244.503814697266,0.012448989638583758,Opportunity share
RB,team_position_total_targets_roll5_mean,5821.928161621094,0.001471780965309855,Opportunity share
RB,team_position_share_targets_roll5_mean,25794.52505493164,0.0065208449728595816,Opportunity share
RB,team_position_total_receptions_lag1,504.8280029296875,0.00012762030462093804,Opportunity share
RB,team_position_share_receptions_lag1,6337.217041015625,0.0016020457750559006,Opportunity share
RB,team_position_total_receptions_roll3_mean,7247.446990966797,0.0018321515196139122,Opportunity share
RB,team_position_share_receptions_roll3_mean,16265.630859375,0.0041119445693948336,Opportunity share
RB,team_position_total_receptions_roll5_mean,7499.905975341797,0.0018959730435849538,Opportunity share
RB,team_position_share_receptions_roll5_mean,17379.942901611328,0.0043936421801606665,Opportunity share
RB,team_position_total_receiving_yards_lag1,10464.18490600586,0.0026453414976274413,Opportunity share
RB,team_position_share_receiving_yards_lag1,3910.39404296875,0.0009885459523945633,Opportunity share
RB,team_position_total_receiving_yards_roll3_mean,5751.4749755859375,0.0014539704298182758,Opportunity share
RB,team_position_share_receiving_yards_roll3_mean,4189.5919189453125,0.0010591270568001574,Opportunity share
RB,team_position_total_receiving_yards_roll5_mean,5387.257049560547,0.001361896292888434,Opportunity share
RB,team_position_share_receiving_yards_roll5_mean,10287.570983886719,0.002600693573165369,Opportunity share
RB,carries_roll3_vs_prev_per_game,8478.22689819336,0.0021432921571578655,Prior season
RB,rushing_yards_roll3_vs_prev_per_game,7098.543975830078,0.0017945089006616293,Prior season
RB,rushing_tds_roll3_vs_prev_per_game,12292.436981201172,0.003107522845346349,Prior season
RB,rushing_fumbles_roll3_vs_prev_per_game,2669.3619384765625,0.0006748135637383895,Prior season
RB,rushing_fumbles_lost_roll3_vs_prev_per_game,623.9169921875,0.00015772595050009196,Prior season
RB,targets_roll3_vs_prev_per_game,5764.101013183594,0.001457162286757703,Prior season
RB,receptions_roll3_vs_prev_per_game,4392.055023193359,0.001110309643520164,Prior season
RB,receiving_yards_roll3_vs_prev_per_game,3994.8069458007812,0.0010098854983604038,Prior season
RB,receiving_tds_roll3_vs_prev_per_game,4831.449951171875,0.0012213884945983273,Prior season
RB,receiving_fumbles_roll3_vs_prev_per_game,0.0,0.0,Prior season
RB,receiving_fumbles_lost_roll3_vs_prev_per_game,0.0,0.0,Prior season
WRTE,targets_prev,15000.097076416016,0.0022025971098830577,Prior season
WRTE,receptions_prev,10058.488006591797,0.0014769768822326817,Prior season
WRTE,receiving_yards_prev,109608.38795471191,0.016094770407024114,Prior season
WRTE,receiving_tds_prev,16009.833999633789,0.0023508657255787817,Prior season
WRTE,receiving_fumbles_prev,614.3150024414062,9.020531280845147e-05,Prior season
WRTE,receiving_fumbles_lost_prev,1426.9869995117188,0.00020953713999004238,Prior season
WRTE,games_prev,9564.477005004883,0.0014044368714045815,Prior season
WRTE,targets_lag1,16827.7099609375,0.0024709616969203754,Recent form
WRTE,targets_roll3_mean,16791.04995727539,0.0024655785838842994,Recent form
WRTE,targets_roll5_mean,37638.88296508789,0.005526850554085707,Recent form
WRTE,receptions_lag1,2734.7439575195312,0.00040156667696325895,Recent form
WRTE,receptions_roll3_mean,9803.109893798828,0.0014394774520423554,Recent form
WRTE,receptions_roll5_mean,30428.56396484375,0.0044680955533435915,Recent form
WRTE,receiving_yards_lag1,20867.841018676758,0.00306420992364795,Recent form
WRTE,receiving_yards_roll3_mean,10105.228149414062,0.0014838401513816333,Recent form
WRTE,receiving_yards_roll5_mean,53828.71731567383,0.007904147325461418,Recent form
WRTE,receiving_tds_lag1,0.0,0.0,Recent form
WRTE,receiving_tds_roll3_mean,2953.4459838867188,0.0004336806325428739,Recent form
WRTE,receiving_tds_roll5_mean,6334.10107421875,0.0009300921619845161,Recent form
WRTE,receiving_fumbles_lag1,0.0,0.0,Recent form
WRTE,receiving_fumbles_roll3_mean,0.0,0.0,Recent form
WRTE,receiving_fumbles_roll5_mean,0.0,0.0,Recent form
WRTE,receiving_fumbles_lost_lag1,384.2279968261719,5.6419599888862173e-05,Recent form
WRTE,receiving_fumbles_lost_roll3_mean,0.0,0.0,Recent form
WRTE,receiving_fumbles_lost_roll5_mean,0.0,0.0,Recent form
WRTE,wrte_targets_allowed_roll3_mean,9542.617095947266,0.00140122698734401,Defensive matchup
WRTE,wrte_targets_allowed_roll5_mean,5095.346984863281,0.000748194927375279,Defensive matchup
WRTE,wrte_receptions_allowed_roll3_mean,6955.538970947266,0.0010213433924487576,Defensive matchup
WRTE,wrte_receptions_allowed_roll5_mean,17725.718017578125,0.0026028241735518223,Defensive matchup
WRTE,wrte_rec_yards_allowed_roll3_mean,21473.446166992188,0.003153136291431736,Defensive matchup
WRTE,wrte_rec_yards_allowed_roll5_mean,23023.372924804688,0.0033807257650129235,Defensive matchup
WRTE,wrte_rec_tds_allowed_roll3_mean,10969.733978271484,0.0016107831991777864,Defensive matchup
WRTE,wrte_rec_tds_allowed_roll5_mean,4021.1809692382812,0.0005904656173916716,Defensive matchup
WRTE,wrte_fp_allowed_roll3_mean,31627.959930419922,0.004644213486042643,Defensive matchup
WRTE,wrte_fp_allowed_roll5_mean,16103.887084960938,0.0023646763731273814,Defensive matchup
WRTE,week_index,8606.817001342773,0.0012638151710535098,Temporal
WRTE,early_season,0.0,0.0,Temporal
WRTE,late_season,0.0,0.0,Temporal
WRTE,week_sin,1695.2049865722656,0.0002489219626420946,Temporal
WRTE,week_cos,8541.848907470703,0.0012542753304065968,Temporal
WRTE,had_prev_season,0.0,0.0,Prior season
WRTE,targets_prev_per_game,28617.475799560547,0.004202157437191791,Prior season
WRTE,receptions_prev_per_game,3306.6320190429688,0.0004855420662604804,Prior season
WRTE,receiving_yards_prev_per_game,105715.11538696289,0.015523086713110323,Prior season
WRTE,receiving_tds_prev_per_game,11448.779998779297,0.0016811257692889122,Prior season
WRTE,receiving_fumbles_prev_per_game,5672.782989501953,0.0008329849702983509,Prior season
WRTE,receiving_fumbles_lost_prev_per_game,422.52099609375,6.20425001331634e-05,Prior season
WRTE,fantasy_points_ppr_prev_per_game,17460.45394897461,0.0025638731009097297,Prior season
WRTE,player_games_prior,21042.128875732422,0.003089802153370388,Other
WRTE,player_fp_career_mean_prior,1167315.4494934082,0.1714072663848616,Player profile
WRTE,player_fp_career_std_prior,19778.863891601562,0.0029043057669878064,Player profile
WRTE,player_fp_career_p75_prior,274091.8619995117,0.04024733573436554,Player profile
WRTE,player_fp_career_p90_prior,13418.176849365234,0.0019703097518468313,Player profile
